sample_id,condition,source
AML_TCGA-AB-2872-03,AML,TCGA
AML_TCGA-AB-2812-03,AML,TCGA
AML_TCGA-AB-2919-03,AML,TCGA
AML_TCGA-AB-2921-03,AML,TCGA
AML_TCGA-AB-2836-03,AML,TCGA
AML_TCGA-AB-2983-03,AML,TCGA
AML_TCGA-AB-2843-03,AML,TCGA
AML_TCGA-AB-2978-03,AML,TCGA
AML_TCGA-AB-2909-03,AML,TCGA
AML_TCGA-AB-2882-03,AML,TCGA
AML_TCGA-AB-2845-03,AML,TCGA
AML_TCGA-AB-2877-03,AML,TCGA
AML_TCGA-AB-3012-03,AML,TCGA
AML_TCGA-AB-2865-03,AML,TCGA
AML_TCGA-AB-2851-03,AML,TCGA
AML_TCGA-AB-2930-03,AML,TCGA
AML_TCGA-AB-2887-03,AML,TCGA
AML_TCGA-AB-2991-03,AML,TCGA
AML_TCGA-AB-2826-03,AML,TCGA
AML_TCGA-AB-2946-03,AML,TCGA
AML_TCGA-AB-2969-03,AML,TCGA
AML_TCGA-AB-2817-03,AML,TCGA
AML_TCGA-AB-2862-03,AML,TCGA
AML_TCGA-AB-2885-03,AML,TCGA
AML_TCGA-AB-2821-03,AML,TCGA
AML_TCGA-AB-2965-03,AML,TCGA
AML_TCGA-AB-2819-03,AML,TCGA
AML_TCGA-AB-2891-03,AML,TCGA
AML_TCGA-AB-2914-03,AML,TCGA
AML_TCGA-AB-2880-03,AML,TCGA
AML_TCGA-AB-2944-03,AML,TCGA
AML_TCGA-AB-2867-03,AML,TCGA
AML_TCGA-AB-2932-03,AML,TCGA
AML_TCGA-AB-2837-03,AML,TCGA
AML_TCGA-AB-2948-03,AML,TCGA
AML_TCGA-AB-2890-03,AML,TCGA
AML_TCGA-AB-3005-03,AML,TCGA
AML_TCGA-AB-2879-03,AML,TCGA
AML_TCGA-AB-2984-03,AML,TCGA
AML_TCGA-AB-2910-03,AML,TCGA
AML_TCGA-AB-2858-03,AML,TCGA
AML_TCGA-AB-2967-03,AML,TCGA
AML_TCGA-AB-2868-03,AML,TCGA
AML_TCGA-AB-2929-03,AML,TCGA
AML_TCGA-AB-2886-03,AML,TCGA
AML_TCGA-AB-2814-03,AML,TCGA
AML_TCGA-AB-2863-03,AML,TCGA
AML_TCGA-AB-2963-03,AML,TCGA
AML_TCGA-AB-2860-03,AML,TCGA
AML_TCGA-AB-2975-03,AML,TCGA
AML_TCGA-AB-2993-03,AML,TCGA
AML_TCGA-AB-2966-03,AML,TCGA
AML_TCGA-AB-2874-03,AML,TCGA
AML_TCGA-AB-2933-03,AML,TCGA
AML_TCGA-AB-2959-03,AML,TCGA
AML_TCGA-AB-2972-03,AML,TCGA
AML_TCGA-AB-2987-03,AML,TCGA
AML_TCGA-AB-2973-03,AML,TCGA
AML_TCGA-AB-2931-03,AML,TCGA
AML_TCGA-AB-2897-03,AML,TCGA
AML_TCGA-AB-2822-03,AML,TCGA
AML_TCGA-AB-2998-03,AML,TCGA
AML_TCGA-AB-2840-03,AML,TCGA
AML_TCGA-AB-2924-03,AML,TCGA
AML_TCGA-AB-3006-03,AML,TCGA
AML_TCGA-AB-2810-03,AML,TCGA
AML_TCGA-AB-2842-03,AML,TCGA
AML_TCGA-AB-2889-03,AML,TCGA
AML_TCGA-AB-2908-03,AML,TCGA
AML_TCGA-AB-2841-03,AML,TCGA
AML_TCGA-AB-2964-03,AML,TCGA
AML_TCGA-AB-2943-03,AML,TCGA
AML_TCGA-AB-2920-03,AML,TCGA
AML_TCGA-AB-2994-03,AML,TCGA
AML_TCGA-AB-2980-03,AML,TCGA
AML_TCGA-AB-2849-03,AML,TCGA
AML_TCGA-AB-2834-03,AML,TCGA
AML_TCGA-AB-2928-03,AML,TCGA
AML_TCGA-AB-2937-03,AML,TCGA
AML_TCGA-AB-2816-03,AML,TCGA
AML_TCGA-AB-2976-03,AML,TCGA
AML_TCGA-AB-2977-03,AML,TCGA
AML_TCGA-AB-2869-03,AML,TCGA
AML_TCGA-AB-2838-03,AML,TCGA
AML_TCGA-AB-2830-03,AML,TCGA
AML_TCGA-AB-2884-03,AML,TCGA
AML_TCGA-AB-3001-03,AML,TCGA
AML_TCGA-AB-2955-03,AML,TCGA
AML_TCGA-AB-3011-03,AML,TCGA
AML_TCGA-AB-2820-03,AML,TCGA
AML_TCGA-AB-2942-03,AML,TCGA
AML_TCGA-AB-2854-03,AML,TCGA
AML_TCGA-AB-2949-03,AML,TCGA
AML_TCGA-AB-2992-03,AML,TCGA
AML_TCGA-AB-2950-03,AML,TCGA
AML_TCGA-AB-2927-03,AML,TCGA
AML_TCGA-AB-2925-03,AML,TCGA
AML_TCGA-AB-2833-03,AML,TCGA
AML_TCGA-AB-2844-03,AML,TCGA
AML_TCGA-AB-2873-03,AML,TCGA
