sample,condition,composite_score_v1,RTK_signaling_score,GO_morphogenesis_epithelium_score,Cell_adhesion_Ephrins_score,WNT_pathway_score
FH_5897_2,AML,0.03151674080427778,0.5306569101782912,0.327082284553038,-0.6849040068790055,0.0906796648736085
FH_6333_2,AML,-0.5454100742395253,-0.9378389808784572,-2.807975972431968,-1.8986345090298973,-1.5281848550437882
GSM3396161,Healthy,-0.17976997697551217,-0.041871237393289,-1.103559577358587,-0.3878543747274173,-0.916441595130692
GSM3396162,Healthy,-0.13589025980734845,0.0172995711361203,-1.3048222633739457,-0.8834132220126187,-0.12542264665366
GSM3396163,Healthy,-0.49989113666557217,-0.9907333521790944,-3.253740121945345,-1.539582526734507,-1.1488953025730553
GSM3396164,Healthy,-0.3630440199148115,-1.180307040537412,-2.2622898141138124,-1.134693742708302,-0.3421891391802461
GSM3396165,Healthy,-0.549495706586919,-1.0283750866203734,-3.4458231814522757,-1.6908564870250646,-1.3813627766952563
GSM3396166,Healthy,-0.6530736796291925,-0.8574817213589264,-4.611355619011342,-2.127331541994671,-1.7685229155471518
GSM3396167,Healthy,-0.35559297231294407,-0.7829831709549955,-2.271530803501153,-1.044313791624048,-0.7839177905981063
GSM3396168,Healthy,-0.7118715494363494,-1.1098142312447916,-5.006752756704915,-2.2707525947691143,-1.7747719123933448
GSM3396169,Healthy,-0.5197265600973282,-0.9347109689958704,-3.4061362017974472,-1.239931382258474,-1.564977777123826
GSM3396170,Healthy,-0.338065466602649,-0.8188035959532185,-2.230067832837464,-1.2765052267049832,-0.4211589706913087
GSM3396171,Healthy,-0.48694411067584387,-1.057880548998064,-2.8219967446337004,-0.8603921779794912,-1.6279251880069985
GSM3396172,Healthy,-0.3536723499279141,-0.8956363858804799,-2.405867664055987,-0.6624170675419447,-0.8771454845500805
GSM3396173,Healthy,-0.46972795274843127,-1.1007992075068158,-3.0435523059617746,-1.1494491570937564,-1.1182700992372148
GSM3396174,Healthy,-0.3823012851026336,-1.0438349838332437,-2.0868108419442137,-0.8484422946411363,-0.956453309174021
GSM3396175,Healthy,-0.16503719852673202,-0.6383319964001812,-1.551844136080122,0.0523045736926596,-0.2730435745558578
GSM3396176,Healthy,-0.29434828095549914,-0.5378171130436022,-2.1478554060770634,-1.3266718172402616,-0.3234440922366242
GSM3396177,Healthy,-0.584457207337454,-1.1927512772027824,-3.690904322437648,-1.9622329550859656,-1.2248145386128324
GSM3396178,Healthy,-0.5000138795817324,-0.9820893306149252,-3.332591279192095,-1.9489632073557317,-0.8212207212011522
GSM3396179,Healthy,-0.3180622836121631,-1.123516320921464,-2.2593802851973286,-0.8440438366531506,-0.208217444420737
GSM3396180,Healthy,0.0251147483549871,-0.9778215808057306,0.9670400333874226,0.6170776645069758,0.5025107317442463
GSM3396181,Healthy,-0.3018513370137581,-1.0038735719892806,-1.905827295589864,-0.5139717514468907,-0.5739013492603474
GSM3396182,Healthy,-0.15712380178323343,-1.30764363456667,-0.2340984434339977,-0.4305550057079577,0.4210389839808074
GSM3396183,Healthy,-0.4395059134737573,-1.3344306156987342,-2.350954184684469,-0.9881327850551676,-0.9570896379692486
GSM3396184,Healthy,-0.2918827422277934,-0.7048087140768177,-1.7874366055723885,-0.7223282608133028,-0.7044686171612018
GSM3396185,Healthy,-0.3293129328858509,-0.7789153300682281,-2.036751111335134,-1.3293987515012078,-0.4173929056058604
GSM3516666_NORMAL,Healthy,0.6443662151180432,2.1486820522618286,5.056515555103829,1.2917117211139597,0.700341601791204
GSM3516665_PRIMARY,AML,2.4148835748629445,4.3721484871752105,15.883988355179593,8.823339873604494,4.907034461388932
GSM3516667_PRIMARY,AML,1.148684269742159,2.9249873814809657,6.552670910344134,4.097368545792552,1.836980495068374
GSM3516664_METASTASIS,AML,3.82274936860963,8.186193254243378,25.080942060400197,9.91747240718433,9.426189846746526
GSM3516668_METASTASIS,AML,1.8387577606289067,5.183102341247656,9.491685571755832,4.966497688689093,3.954456858028912
