sample_id,condition,data_type
FH_5897_2,AML,10x
FH_6333_2,AML,10x
GSM3396161,Healthy,loose_triplet
GSM3396162,Healthy,loose_triplet
GSM3396163,Healthy,loose_triplet
GSM3396164,Healthy,loose_triplet
GSM3396165,Healthy,loose_triplet
GSM3396166,Healthy,loose_triplet
GSM3396167,Healthy,loose_triplet
GSM3396168,Healthy,loose_triplet
GSM3396169,Healthy,loose_triplet
GSM3396170,Healthy,loose_triplet
GSM3396171,Healthy,loose_triplet
GSM3396172,Healthy,loose_triplet
GSM3396173,Healthy,loose_triplet
GSM3396174,Healthy,loose_triplet
GSM3396175,Healthy,loose_triplet
GSM3396176,Healthy,loose_triplet
GSM3396177,Healthy,loose_triplet
GSM3396178,Healthy,loose_triplet
GSM3396179,Healthy,loose_triplet
GSM3396180,Healthy,loose_triplet
GSM3396181,Healthy,loose_triplet
GSM3396182,Healthy,loose_triplet
GSM3396183,Healthy,loose_triplet
GSM3396184,Healthy,loose_triplet
GSM3396185,Healthy,loose_triplet
GSM3516666_NORMAL,Healthy,dense_csv
GSM3516665_PRIMARY,AML,dense_csv
GSM3516667_PRIMARY,AML,dense_csv
GSM3516664_METASTASIS,AML,dense_csv
GSM3516668_METASTASIS,AML,dense_csv
