module,n_genes_used,n_genes_total,auc,cohens_d,t_stat,p_value,perm_p,auc_ci_lo,auc_ci_hi,rank_score,p_adj_bh
Cornified envelope formation - Homo sapiens (human),2,2,0.967948717948718,2.6551857793196554,5.119479580018438,0.0016387828756299324,,,,1.6423519076344038,0.06555131502519729
Basal transcription factors - Homo sapiens (human),2,2,0.9294871794871795,2.0010845544272287,3.2842462142511164,0.01705026834277569,,,,1.3530110489603664,0.3410053668555138
Ribosome biogenesis in eukaryotes - Homo sapiens (human),2,2,0.6858974358974359,1.2106333376355793,1.511629417597967,0.18796710932003557,,,,0.8394016637966826,0.7698330011320095
Cell cycle - Homo sapiens (human),3,3,0.7500000000000001,0.9887746378773626,1.3275337937516247,0.23759040495450504,,,,0.7742327336645936,0.7698330011320095
Nucleotide excision repair - Homo sapiens (human),3,3,0.6474358974358975,0.9953417207386356,1.2670465809849147,0.257836895639593,,,,0.7092471580651148,0.7698330011320095
MicroRNAs in cancer - Homo sapiens (human),4,4,0.7371794871794872,0.7096691336394022,1.4751880210637143,0.1833906430246692,,,,0.6711581528560525,0.7698330011320095
Proteoglycans in cancer - Homo sapiens (human),3,3,0.6666666666666667,0.6071461870132057,0.7957621233576804,0.45991713827597924,,,,0.5048833333224886,0.7698330011320095
Purine metabolism - Homo sapiens (human),2,2,0.5641025641025641,0.527636063039201,0.8292713760788948,0.4398007199394577,,,,0.4175757476953815,0.7698330011320095
ATP-dependent chromatin remodeling - Homo sapiens (human),2,2,0.5448717948717948,0.4526876106811098,0.5628264762268856,0.596639980057248,,,,0.3290061271783464,0.7698330011320095
PI3K-Akt signaling pathway - Homo sapiens (human),3,3,0.5576923076923077,0.4037746170717564,0.5427151278935002,0.608923772312968,,,,0.3134480997501968,0.7698330011320095
JAK-STAT signaling pathway - Homo sapiens (human),3,3,0.5576923076923077,0.4037746170717564,0.5427151278935002,0.608923772312968,,,,0.3134480997501968,0.7698330011320095
Thyroid cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Bladder cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Chronic myeloid leukemia - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Endometrial cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Prostate cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Colorectal cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Pancreatic cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Small cell lung cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Thyroid hormone signaling pathway - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Endocrine resistance - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Acute myeloid leukemia - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Glioma - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Human T-cell leukemia virus 1 infection - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
AMPK signaling pathway - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Apelin signaling pathway - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Breast cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Hippo signaling pathway - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Hepatitis C - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Gastric cancer - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Cellular senescence - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Human papillomavirus infection - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Hepatocellular carcinoma - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Chemical carcinogenesis - receptor activation - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Epstein-Barr virus infection - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
Human cytomegalovirus infection - Homo sapiens (human),2,2,0.4935897435897436,0.28752705752373775,0.38622331063852194,0.7140547058998199,,,,0.20464056508570297,0.7698330011320095
One carbon pool by folate - Homo sapiens (human),2,2,0.5384615384615384,0.24539484855719948,0.36094210154942613,0.731341351075409,,,,0.20183245717718015,0.7698330011320095
Wnt signaling pathway - Homo sapiens (human),3,3,0.6474358974358974,0.07801534586699765,0.09810539858738881,0.9254565704066435,,,,0.1420307056863444,0.949186226058096
Amyotrophic lateral sclerosis - Homo sapiens (human),2,2,0.532051282051282,0.038315275999150564,0.05481805439153755,0.9582046604840593,,,,0.04709548148521167,0.9582046604840593
