TF,Regulates
MYC,FOSL1
SMAD3,MYC
SMAD4,MYC
SP1,"MYC, SREBF1, FOSL1"
TP53,"MYC, NFIC"
RUNX1,ZEB2
STAT1,"MYC, ZEB2"
STAT3,MYC
RELA,MYC
E2F1,"MYC, NFIC, FOXA2"
YY1,MYC
WT1,MYC
ETS1,"MYC, SREBF1, FOSL1, NFIC"
AHR,MYC
JUN,"MYC, FOSL1"
HNF4A,MYC
RARA,MYC
PPARG,MYC
AR,MYC
ESR1,"MYC, FOSL1"
EGR1,"MYC, FOSL1, NFIC, GATA2"
FOS,"MYC, FOSL1"
NFKB1,MYC
FOXO3,KLF4
ELK1,FOSL1
CEBPA,"MYC, SREBF1, FOXA2"
E2F4,"MYC, NFIC"
ETS2,"MYC, FOSL1"
GATA3,MYC
LEF1,MYC
SRF,FOSL1
SP3,MYC
SPI1,ZEB2
POU2F1,MYC
TP63,KLF4
TFAP2A,MYC
PGR,MYC
NFIC,MYC
TFAP2C,"MYC, NFIC"
PPARA,MYC
CTCF,MYC
MITF,ZEB2
VDR,SREBF1
GATA2,"MYC, ZEB2"
JUND,FOSL1
NR1H3,SREBF1
FOXA1,MYC
TAL1,ZEB2
NR1H2,SREBF1
FOXM1,MYC
GLI2,FOXA2
SOX2,ZEB2
PRDM14,"SREBF1, NFIC, GATA2"
TCF7L2,MYC
FOSL2,FOSL1
ZNF263,NFIC
