gene,median_effect,mean_effect,frac_dep_lt_minus05,frac_dep_lt_minus03,n_cell_lines,is_known_aml_target,dep_prob_median
MYC,-2.217341899871826,-2.216310739517212,1.0,1.0,43,True,1.0
RUVBL1,-1.9004014730453491,-1.8935248851776123,0.9767441860465116,0.9767441860465116,43,False,1.0
CDK7,-1.8457452058792114,-1.9104266166687012,1.0,1.0,43,False,1.0
EIF3B,-1.5750633478164673,-1.5635818243026733,1.0,1.0,43,False,0.9995574951171875
BOP1,-1.209976077079773,-1.2073944807052612,1.0,1.0,43,False,0.9892077445983887
POLD2,-1.169106364250183,-1.1879963874816895,1.0,1.0,43,False,0.9903035759925842
PSMG3,-1.1833575963974,-1.1641240119934082,0.9767441860465116,1.0,43,False,0.9863060712814331
RPL36A,-1.2951231002807617,-1.1586211919784546,0.875,0.875,8,False,0.9794901609420776
NUP155,-1.052782654762268,-1.0375308990478516,1.0,1.0,43,False,0.9820631742477417
NOB1,-0.9820953607559204,-0.9717373251914978,0.9534883720930233,1.0,43,False,0.9783405661582947
WDR70,-1.059736967086792,-1.0038622617721558,0.875,0.875,8,False,0.9781116247177124
PAICS,-0.9888437986373901,-0.9647074937820435,0.9069767441860465,0.9534883720930233,43,False,0.9725677967071533
UBAP1,-0.8621397614479065,-0.8606698513031006,1.0,1.0,43,False,0.9414783716201782
ECT2,-0.9485050439834595,-0.967062771320343,0.8604651162790697,0.9534883720930233,43,False,0.9712586998939514
TAF10,-0.8434749245643616,-0.8408681154251099,0.9534883720930233,1.0,43,False,0.9512066841125488
RRP15,-0.8150447607040405,-0.844348669052124,0.9767441860465116,1.0,43,False,0.9407932758331299
RAD1,-0.758712112903595,-0.8220953941345215,0.9302325581395349,1.0,43,False,0.9211080074310303
MCL1,-0.8420423269271851,-0.9108171463012695,0.813953488372093,0.9534883720930233,43,True,0.9407107830047607
IMPDH2,-0.7607241868972778,-0.7635022401809692,0.813953488372093,0.9534883720930233,43,False,0.87074875831604
ICE1,-0.7331746816635132,-0.7126641273498535,0.813953488372093,0.9767441860465116,43,False,0.9065641164779663
NPM1,-0.7743494510650635,-0.9105420112609863,0.75,1.0,8,True,0.8833277821540833
MRGBP,-0.6864519119262695,-0.6930392384529114,0.6976744186046512,0.8604651162790697,43,False,0.863398015499115
CCDC86,-0.6405422687530518,-0.6096561551094055,0.7209302325581395,0.9302325581395349,43,False,0.8073089122772217
AHCY,-0.6389831900596619,-0.7053763270378113,0.6744186046511628,0.9302325581395349,43,False,0.8018947839736938
ZEB2,-0.6951783895492554,-0.7002954483032227,0.6744186046511628,0.8372093023255814,43,False,0.7533811926841736
EXOC3,-0.5727639198303223,-0.6033733487129211,0.6976744186046512,0.9534883720930233,43,False,0.715660035610199
KRT8,-0.5878753662109375,-0.5455148816108704,0.625,1.0,8,False,0.7493642568588257
DROSHA,-0.6206252574920654,-0.5870593786239624,0.6046511627906976,0.9069767441860465,43,False,0.7546680569648743
GCSH,-0.5089927315711975,-0.5260005593299866,0.5116279069767442,0.8604651162790697,43,False,0.5523586869239807
PPP1R14B,-0.4281631410121918,-0.4446117579936981,0.3023255813953488,0.7906976744186046,43,False,0.46047019958496094
LCMT1,-0.4127158522605896,-0.4233577251434326,0.32558139534883723,0.7441860465116279,43,False,0.45561298727989197
SREBF1,-0.3783702552318573,-0.4731246531009674,0.37209302325581395,0.627906976744186,43,False,0.2988607585430145
ACACA,-0.3786769509315491,-0.28076234459877014,0.3023255813953488,0.5813953488372093,43,False,0.3976772725582123
CERS2,-0.3632415533065796,-0.40512046217918396,0.27906976744186046,0.6744186046511628,43,False,0.3240349292755127
TRIP13,-0.347400039434433,-0.3780257999897003,0.23255813953488372,0.6046511627906976,43,False,0.32202938199043274
PEX6,-0.34037795662879944,-0.3648258149623871,0.2558139534883721,0.6046511627906976,43,False,0.27876755595207214
NOA1,-0.31270113587379456,-0.41892296075820923,0.3488372093023256,0.5348837209302325,43,False,0.2279672771692276
ARHGEF5,-0.3227173089981079,-0.3565022647380829,0.2558139534883721,0.6046511627906976,43,False,0.29552772641181946
MT1E,-0.35652339458465576,-0.38982635736465454,0.1951219512195122,0.6097560975609756,41,False,0.29133132100105286
UQCC1,-0.3255578875541687,-0.34954091906547546,0.20930232558139536,0.5813953488372093,43,False,0.25338679552078247
MALL,-0.32713186740875244,-0.32670554518699646,0.13953488372093023,0.627906976744186,43,False,0.29012101888656616
NME2,-0.3194318115711212,-0.3219030201435089,0.23255813953488372,0.5116279069767442,43,False,0.26533541083335876
TLCD1,-0.36139342188835144,-0.33648955821990967,0.046511627906976744,0.6744186046511628,43,False,0.3207457363605499
ALDOC,-0.3307340145111084,-0.3272387981414795,0.11627906976744186,0.5581395348837209,43,False,0.26412874460220337
FOXK1,-0.272082656621933,-0.2731281518936157,0.23255813953488372,0.4418604651162791,43,False,0.17803774774074554
SCG5,-0.2964014708995819,-0.31619346141815186,0.11627906976744186,0.4883720930232558,43,False,0.25316593050956726
C1ORF122,-0.3017676770687103,-0.3105722963809967,0.06976744186046512,0.5116279069767442,43,False,0.23985108733177185
STEAP3,-0.2330111414194107,-0.32305851578712463,0.20930232558139536,0.4186046511627907,43,False,0.19290831685066223
NPB,-0.2850325107574463,-0.2939273416996002,0.06976744186046512,0.46511627906976744,43,False,0.22599515318870544
MXRA7,-0.2582364082336426,-0.2786242663860321,0.11627906976744186,0.4186046511627907,43,False,0.17480354011058807
DNAAF5,-0.22049161791801453,-0.2666977643966675,0.20930232558139536,0.37209302325581395,43,False,0.1297735869884491
MT1X,-0.2782590389251709,-0.27405834197998047,0.07317073170731707,0.4146341463414634,41,False,0.2052290290594101
CXADR,-0.27280229330062866,-0.2498360127210617,0.0,0.5,8,False,0.1805221438407898
CXCL2,-0.2735867202281952,-0.2722250521183014,0.06976744186046512,0.3953488372093023,43,False,0.1767716407775879
CNTNAP1,-0.2708072066307068,-0.2824251055717468,0.046511627906976744,0.3488372093023256,43,False,0.21641066670417786
CTXN1,-0.2607775330543518,-0.27540746331214905,0.06976744186046512,0.3488372093023256,43,False,0.16562320291996002
CPNE7,-0.23660866916179657,-0.24461297690868378,0.09302325581395349,0.3488372093023256,43,False,0.11122458428144455
CDC25B,-0.22811003029346466,-0.2549830973148346,0.09302325581395349,0.3023255813953488,43,False,0.16292941570281982
FAHD2B,-0.25098443031311035,-0.23215824365615845,0.024390243902439025,0.34146341463414637,41,False,0.16901619732379913
PPP1R35,-0.21297165751457214,-0.2429913878440857,0.06976744186046512,0.37209302325581395,43,False,0.11908790469169617
AP2B1,-0.19837331771850586,-0.2274465411901474,0.09302325581395349,0.37209302325581395,43,False,0.1047872006893158
SFN,-0.259470134973526,-0.2583550214767456,0.023255813953488372,0.3023255813953488,43,False,0.169167622923851
SLC25A10,-0.22700825333595276,-0.2365364283323288,0.046511627906976744,0.3488372093023256,43,False,0.1350223869085312
PLA2G12A,-0.24534212052822113,-0.24771957099437714,0.023255813953488372,0.27906976744186046,43,False,0.18082600831985474
SNTA1,-0.24632051587104797,-0.24988038837909698,0.0,0.3023255813953488,43,False,0.15563403069972992
MECR,-0.1867293417453766,-0.2256237268447876,0.09302325581395349,0.3023255813953488,43,False,0.09254053980112076
CYB561,-0.19780942797660828,-0.20485550165176392,0.06976744186046512,0.3023255813953488,43,False,0.11381806433200836
DPH5,-0.18925122916698456,-0.2322091907262802,0.11627906976744186,0.2558139534883721,43,False,0.10132252424955368
CXCL1,-0.22064152359962463,-0.2056756317615509,0.023255813953488372,0.3023255813953488,43,False,0.15718260407447815
SV2A,-0.22999317944049835,-0.23646876215934753,0.046511627906976744,0.2558139534883721,43,False,0.13786856830120087
CCND1,-0.16837352514266968,-0.21631957590579987,0.13953488372093023,0.2558139534883721,43,False,0.08679979294538498
PTPRU,-0.19612880051136017,-0.20046991109848022,0.06976744186046512,0.27906976744186046,43,False,0.12031112611293793
KISS1,-0.20847520232200623,-0.23271852731704712,0.046511627906976744,0.27906976744186046,43,False,0.1381225734949112
DAP,-0.2151288241147995,-0.2162797451019287,0.0,0.32558139534883723,43,False,0.15721678733825684
SMAGP,-0.22636660933494568,-0.22856898605823517,0.024390243902439025,0.2682926829268293,41,False,0.15089458227157593
PDZK1IP1,-0.20905134081840515,-0.22287973761558533,0.023255813953488372,0.3023255813953488,43,False,0.15052661299705505
FOSL1,-0.21419186890125275,-0.2252308577299118,0.046511627906976744,0.2558139534883721,43,False,0.15157590806484222
S100A14,-0.2255740910768509,-0.24373480677604675,0.0,0.3023255813953488,43,False,0.14900563657283783
TNS2,-0.22049574553966522,-0.21689827740192413,0.023255813953488372,0.27906976744186046,43,False,0.1357279121875763
SPAG4,-0.23069854080677032,-0.21395842730998993,0.023255813953488372,0.20930232558139536,43,False,0.1295543909072876
ENDOG,-0.18835152685642242,-0.201552152633667,0.06976744186046512,0.23255813953488372,43,False,0.10420574992895126
CDKN2AIPNL,-0.19031363725662231,-0.1388423591852188,0.023255813953488372,0.3023255813953488,43,False,0.09500444680452347
BNIP3,-0.20243696868419647,-0.20494914054870605,0.046511627906976744,0.20930232558139536,43,False,0.1363677978515625
STXBP1,-0.22027643024921417,-0.18949441611766815,0.0,0.23255813953488372,43,False,0.15556514263153076
DNAJC22,-0.22158566117286682,-0.20964308083057404,0.0,0.23255813953488372,43,False,0.13552726805210114
AK4,-0.1927386224269867,-0.19327837228775024,0.046511627906976744,0.23255813953488372,43,False,0.109806127846241
SCRN2,-0.20938222110271454,-0.19578798115253448,0.0,0.2558139534883721,43,False,0.12960439920425415
CSF3,-0.2367270141839981,-0.21801172196865082,0.0,0.18604651162790697,43,False,0.15919938683509827
FAM89B,-0.19304606318473816,-0.19532383978366852,0.0,0.27906976744186046,43,False,0.11451723426580429
CTTN,-0.18978099524974823,-0.19867002964019775,0.046511627906976744,0.20930232558139536,43,False,0.10173172503709793
HNF1B,-0.1825009286403656,-0.1904132068157196,0.023255813953488372,0.2558139534883721,43,False,0.10103980451822281
GPX8,-0.1612582951784134,-0.18383999168872833,0.06976744186046512,0.23255813953488372,43,False,0.09225490689277649
SLC35B2,-0.17657294869422913,-0.18371260166168213,0.046511627906976744,0.23255813953488372,43,False,0.09801352024078369
ABCC6,-0.1180766373872757,-0.13918006420135498,0.125,0.25,8,False,0.06127484515309334
ESRRA,-0.17288170754909515,-0.1594589352607727,0.046511627906976744,0.23255813953488372,43,False,0.08576503396034241
SHC3,-0.18522140383720398,-0.2149721384048462,0.0,0.23255813953488372,43,False,0.11999748647212982
TRNP1,-0.1899857074022293,-0.19230325520038605,0.023255813953488372,0.18604651162790697,43,False,0.09905382245779037
ASS1,-0.19696414470672607,-0.17545723915100098,0.0,0.18604651162790697,43,False,0.12139970809221268
RRAD,-0.1757616549730301,-0.19942434132099152,0.023255813953488372,0.20930232558139536,43,False,0.08791033923625946
TRIP6,-0.18236280977725983,-0.15898750722408295,0.0,0.20930232558139536,43,False,0.12078530341386795
